,0
BERTTopic_all-MiniLM-L6-v2.model_50T.model,-0.5543063919291218
BERTTopic_all-MiniLM-L6-v2.model_48T.model,-0.546461508451803
BERTTopic_all-MiniLM-L6-v2.model_46T.model,-0.5485978409691615
BERTTopic_all-MiniLM-L6-v2.model_44T.model,-0.542845354630737
BERTTopic_all-MiniLM-L6-v2.model_42T.model,-0.5373140763063291
BERTTopic_all-MiniLM-L6-v2.model_40T.model,-0.530277587492948
BERTTopic_all-MiniLM-L6-v2.model_38T.model,-0.5047516900857694
BERTTopic_all-MiniLM-L6-v2.model_36T.model,-0.49904304259325877
BERTTopic_all-MiniLM-L6-v2.model_34T.model,-0.48866038998376476
BERTTopic_all-MiniLM-L6-v2.model_32T.model,-0.4792618626676381
BERTTopic_all-MiniLM-L6-v2.model_30T.model,-0.4625916552802249
BERTTopic_all-MiniLM-L6-v2.model_28T.model,-0.4429642903570468
BERTTopic_all-MiniLM-L6-v2.model_26T.model,-0.4606844391584711
BERTTopic_all-MiniLM-L6-v2.model_24T.model,-0.4471900528642446
BERTTopic_all-MiniLM-L6-v2.model_22T.model,-0.42807719261666693
BERTTopic_all-MiniLM-L6-v2.model_20T.model,-0.4251769169942221
BERTTopic_all-MiniLM-L6-v2.model_18T.model,-0.3907539460875155
BERTTopic_all-MiniLM-L6-v2.model_16T.model,-0.3600963350859982
BERTTopic_all-MiniLM-L6-v2.model_14T.model,-0.327677944899959
BERTTopic_all-MiniLM-L6-v2.model_12T.model,-0.3043286383858419
BERTTopic_all-MiniLM-L6-v2.model_10T.model,-0.25532672133337386
BERTTopic_all-MiniLM-L6-v2.model_8T.model,-0.19012535234542044
BERTTopic_all-MiniLM-L6-v2.model_6T.model,-0.15305098890225005
BERTTopic_all-MiniLM-L6-v2.model_4T.model,-0.050857813117840094
