,Topic,Count,keyword 1,keyword 2,keyword 3,keyword 4,keyword 5,keyword 6,keyword 7,keyword 8,keyword 9,keyword 10
0,-1,13222,zug,minuten,verspätung,verbindung,züge,anschluss,strecke,verbindungen,umsteigen,fahrt
1,0,1697,bahnhöfen,bahn,bahnhöfe,bahnen,sicherheit,sicherheitspersonal,abends,bahnwagen,nachts,zügen
2,1,1438,klasse,klassenwechsel,klass,wagen,kl,klasswagen,ga,überfüllt,voll,plätze
3,2,1380,zug,mal,fahren,minuten,ga,ticket,fahrt,strecke,verspätung,10
4,3,1327,ticket,tickets,app,lösen,ticketpreise,kaufen,online,gekauft,teuer,gelöst
5,4,1128,maske,maskenpflicht,masken,tragen,getragen,nase,kontrolle,pflicht,kontrollen,leute
6,5,968,zufrieden,super,angebot,job,bls,service,pünktlich,schweiz,fan,personal
7,6,677,busse,busverbindung,anschluss,busfahrer,busfahrt,fährt,busverbindungen,warten,knapp,verpasst
8,7,657,preise,teuer,preis,senken,halbtax,zugfahren,leistung,rentner,erhöhen,öv
9,8,595,app,mobile,billet,kaufen,billett,funktioniert,verbindung,angezeigt,lösen,homepage
10,9,594,wlan,wifi,lan,gratis,zügen,free,kostenloses,freies,internet,steckdosen
11,10,556,sparbillette,spartickets,sparbillett,sparbilette,sparbillete,anbieten,sparbillet,sparticket,spar,sparbillets
12,11,505,voll,überfüllt,zug,züge,stehen,übervoll,völlig,stark,schmutzig,nehmen
13,12,488,pünktlichkeit,pünktlich,pünktlicher,verbessern,sauberkeit,pünktliche,züge,pünktlichere,zuverlässigkeit,ankommen
14,13,438,wagons,wagon,klasse,stosszeiten,anhängen,klass,stehen,sitzplätze,überfüllt,verfügung
15,14,435,anschluss,anschlüsse,anschlusszug,anschlusszüge,verpasst,warten,verspätung,erreicht,knapp,anschlusszeiten
16,15,434,toiletten,toilette,defekt,geschlossen,sauber,saubere,sauberkeit,benutzbar,defekte,zügen
17,16,427,strecke,umsteigen,verbindung,verbindungen,voll,zug,züge,fahrt,direkte,ostschweiz
18,17,397,billet,billett,billette,lösen,teuer,automaten,automat,billets,gelöst,app
19,18,387,minuten,verspätung,15,30,umsteigezeit,10,20,umsteigen,minute,knapp
20,19,384,verbindung,zug,direkte,richtung,verspätung,strecke,35,17,rückfahrt,stunde
21,20,383,gepäck,gepäckstücke,stauraum,verstauen,gepäckablage,gepäckablagen,reisegepäck,koffer,grössere,sitzplätze
22,21,345,reisen,reise,reisende,reisenden,reisezeit,angenehm,angenehmer,schweiz,strecke,reist
23,22,332,sauberkeit,sauber,sauberer,saubere,wc,wcs,zügen,sauberen,sitze,sauberere
24,23,332,sicherheitspersonal,zugspersonal,sicherheitskräfte,sicherheit,präsenz,abend,abends,sicherer,gefühl,späten
25,24,331,rollmaterial,rollstuhl,rollmaterials,besseres,neueres,einsetzen,moderneres,rollstuhlfahrer,rollator,rolltreppe
26,25,330,super,bestens,job,geklappt,gepasst,passt,ok,arbeit,ordnung,dankeschön
27,26,325,verbindung,verspätung,anschluss,fahrt,abfahrt,zug,umsteigen,direkte,halbstundentakt,hinfahrt
28,27,324,wagen,anhängen,wagens,wägen,wägeli,alten,wc,vorne,wagenmaterial,einsetzen
29,28,316,stosszeiten,sitzplätze,ausserhalb,züge,platzangebot,längere,waggons,stosszeit,einsetzen,sitzplatz
30,29,304,klimaanlage,kalt,eingestellt,klimaanlagen,klima,heiss,heissen,klimatisierung,kühl,einstellen
31,30,300,app,mobile,smartphone,angezeigt,anzeigen,funktioniert,push,fahrplan,apps,verbindungen
32,31,279,umfrage,fragen,umfragen,fragebogen,befragung,kürzer,ausfüllen,länger,frage,beantworten
33,32,278,siehe,anregungen,bemerkungen,kommentar,erwähnt,vorherigen,beschrieben,vorherige,beantwortet,vorheriger
34,33,273,günstiger,günstigere,preise,anbieten,billete,tarife,angebote,günstige,ga,günstigeres
35,34,269,informieren,informationen,information,bessere,störungen,info,verspätungen,infos,informiert,lautsprecher
36,35,238,temperatur,temperaturen,warm,winter,sommer,grad,kalt,heizen,jacke,klimaanlage
37,36,220,corona,zeiten,coronazeiten,maskenpflicht,pandemie,züge,stosszeiten,einhalten,kontrollen,coronazeit
38,37,218,reservation,reservationen,velo,reservationspflicht,velos,plätze,fahrrad,gruppe,fahrräder,reservieren
39,38,211,durchsagen,verständlich,leise,lautsprecher,durchsage,laut,lautstärke,undeutlich,lautsprecherdurchsagen,gesprochen
40,39,209,halt,haltestelle,verlangen,haltestellen,hält,knopf,einwohner,schnellzüge,bergstrecke,sauberer
41,40,209,strecken,kurzstrecken,streckenabo,teuer,stecken,teilstrecken,langen,kurze,strecke,frequentierten
42,41,209,telefonieren,telefoniert,laut,telefon,telefongespräche,telefonate,ruhewagen,störend,laute,verboten
43,42,206,tageskarte,tageskarten,tagsüber,tages,nachts,chf,sicher,tageszeit,abends,franken
44,43,204,sitzplatz,sitzplätze,reserviert,plätze,sitzen,sitzplätzen,reservierten,taschen,4er,sitze
45,44,202,personal,freundliches,freundlich,personals,sicherheit,kompetentes,weiterhin,hilfsbereit,schulen,zuvorkommend
46,45,200,restaurantwagen,restaurants,geschlossen,bedient,bistro,catering,konsumieren,service,betrieb,kaffee
47,46,198,koffer,koffern,ablageflächen,verstauen,ablage,grössere,rucksäcke,abteil,zuwenig,sitzen
48,47,187,gepäck,koffer,flugzeug,direkte,flughäfen,flieger,koffern,s2,züge,umsteigen
49,48,187,umsteigezeit,knapp,umsteigen,umsteigezeiten,bemessen,ältere,knappe,personen,knappen,gehbehinderte
50,49,184,speisewagen,bedient,geschlossen,speisen,betrieb,konsumiert,frühstück,konsumieren,geöffnet,kaffee
51,50,181,25,appenzellerland,galler,umsteigen,verbindungen,anschluss,verbindung,rheintal,richtung,frasnacht
52,51,178,wc,wcs,geschlossen,defekt,geschlossene,defekte,stinken,betrieb,manchmal,geruch
53,52,173,lift,rampe,rampen,kinderwagen,rollstuhl,treppen,lifte,treppe,perron,velo
54,53,172,perron,perrons,anzeige,sektor,anzeigen,sitzgelegenheiten,durchsagen,anzeigetafeln,wartehäuschen,einsteigen
55,54,169,strecke,pendler,pendlerzeiten,züge,stecke,woche,wünschenswert,verspätungen,pro,fahre
