,Topic,Count,keyword 1,keyword 2,keyword 3,keyword 4,keyword 5,keyword 6,keyword 7,keyword 8,keyword 9,keyword 10
0,-1,229,17h33,wegwerfzeug,herausgerissen,zuteueerrrrrr,jahresverbundsticket,zugeinheiten,ländlermusik,mehrsitzgelegenheit,mobileanschlüsse,müntzautomat
1,0,21847,zug,klasse,verspätung,minuten,züge,verbindung,fahrt,umsteigen,anschluss,verbindungen
2,1,3300,app,ticket,tickets,lösen,billet,kaufen,mobile,billett,gelöst,online
3,2,1908,stosszeiten,sitzplätze,platzangebot,plätze,velos,sitzplatz,stellen,verfügung,velo,veloplätze
4,3,1173,wagen,zonen,zone,winter,temperatur,warm,sommer,temperaturen,grad,heizen
5,4,1114,strecke,steckdosen,strecken,postauto,zugverbindungen,züge,kurzstrecken,kurze,fahrt,zug
6,5,1075,gepäck,koffer,koffern,stauraum,verstauen,gepäckstücke,grössere,sitzen,reisegepäck,gepäckablagen
7,6,1013,wlan,internet,wifi,arbeiten,laptop,zügen,steckdosen,lan,gratis,zug
8,7,790,umfrage,fahrräder,fragen,fahrrad,umfragen,fahrplan,befragung,fragebogen,fahrt,einhalten
9,8,729,busse,anschluss,busverbindung,fährt,busfahrer,busfahrt,chauffeur,busverbindungen,zug,fahren
10,9,674,sparbillette,spartickets,sparbillete,anbieten,sparbillett,sparbilette,sparbillet,sparticket,schade,angebot
11,10,655,sauberkeit,sauber,wc,sauberer,saubere,zügen,sitze,wcs,gefahren,schifffahrt
12,11,568,wagons,wagon,transport,klasse,stosszeiten,anhängen,stehen,klass,überfüllt,sitzplätze
13,12,517,pünktlichkeit,pünktlich,verbessern,pünktlicher,züge,zuverlässigkeit,sauberkeit,pünktliche,ankommen,pünktlichere
14,13,499,speisewagen,kontrollen,kontrolle,kontrolleure,bedient,geschlossen,kontrolleur,kontrolliert,kontrollieren,schade
15,14,497,reise,reisen,reisende,reisenden,zug,angenehm,züge,reisezeit,schweiz,personen
16,15,483,wc,wcs,defekt,geschlossen,defekte,geruch,geschlossene,zügen,türen,betrieb
17,16,475,rückfahrt,ruhewagen,rückreise,ruheabteile,hinfahrt,einführen,ruhe,ruheabteil,klasse,zug
18,17,450,günstiger,günstigere,preise,billete,angebote,ga,anbieten,vergünstigungen,billette,öv
