,Topic,Count,keyword 1,keyword 2,keyword 3,keyword 4,keyword 5,keyword 6,keyword 7,keyword 8,keyword 9,keyword 10
0,-1,12506,zug,züge,minuten,verspätung,fahrt,verbindung,app,strecke,wc,verbindungen
1,0,15586,zug,verspätung,minuten,züge,maske,fahrt,maskenpflicht,verbindung,umsteigen,bahn
2,1,2124,klasse,wagen,klassenwechsel,klass,klimaanlage,koffer,kalt,kl,ga,voll
3,2,1755,app,wlan,wifi,internet,mobile,laptop,funktioniert,arbeiten,zügen,verbindung
4,3,1570,ticket,tickets,app,reservation,lösen,kaufen,velo,ticketpreise,online,gekauft
5,4,968,stosszeiten,steckdosen,strecken,strecke,züge,postauto,sitzplätze,zügen,kurzstrecken,längere
6,5,565,sparbillette,spartickets,sparbillett,sparbilette,anbieten,sparbillete,sparbillet,sparticket,schade,strecke
7,6,492,pünktlichkeit,pünktlich,pünktlicher,verbessern,sauberkeit,züge,pünktliche,pünktlichere,zuverlässigkeit,ankommen
8,7,478,sicherheitspersonal,verbindungen,sicherheitskräfte,sicherheit,zugspersonal,präsenz,abend,abends,verbindung,bessere
9,8,443,wagons,wagon,klasse,stosszeiten,anhängen,klass,stehen,sitzplätze,überfüllt,sitzplatz
10,9,427,billet,billett,billette,lösen,billiger,app,teuer,billets,gelöst,kaufen
11,10,419,sauberkeit,wc,sauber,saubere,sauberer,schifffahrt,wcs,zügen,züge,zug
12,11,411,gepäck,gepäckstücke,stauraum,verstauen,gepäckablagen,reisegepäck,grössere,sitzplätze,gepäckablage,sitzen
13,12,386,platzangebot,sitzplätze,plätze,sitzplatz,reserviert,reservierten,knapp,sitzen,personen,wagen
14,13,362,reisen,reise,reisende,reisenden,zug,angenehm,reisezeit,strecke,personen,züge
15,14,354,ride,easy,bike,bikes,easyride,parkplätze,funktioniert,app,velo,rail
16,15,335,wagen,anhängen,wägen,wagens,wägeli,wc,alten,stosszeiten,vorne,einsetzen
17,16,332,rollmaterial,rollstuhl,besseres,rollmaterials,einsetzen,neueres,rolltreppe,moderneres,strecke,rollator
18,17,326,bistro,geschlossen,bedient,bistrowagen,restaurantwagen,restaurants,speisewagen,catering,kaffee,schade
19,18,318,swisspass,anpassen,pass,passagiere,juniorkarte,app,karte,login,online,zeigen
20,19,315,speisewagen,bedient,kontrolleure,kontrollen,kontrolle,geschlossen,kontrolleur,kontrollieren,kontrolliert,betrieb
21,20,284,zufrieden,zugpersonal,zugbegleiter,zugbegleitung,unfreundlich,freundlich,hilfsbereit,zugbegleiterin,präsenz,zugbegleitpersonal
22,21,253,günstiger,günstigere,preise,ga,anbieten,angebote,billete,tarife,günstigeres,günstige
23,22,252,informieren,informationen,information,bessere,störungen,verspätungen,info,infos,informiert,verspätung
24,23,251,fahrräder,familienwagen,fahrrad,familien,kinderwagen,familienabteil,kinder,fahrrädern,fahrradplätze,kindern
25,24,245,ruhewagen,rückfahrt,ruheabteile,ruheabteil,rückreise,ruhe,klasse,ruhezone,einführen,ruhezonen
26,25,235,corona,covid,zeiten,coronazeiten,19,züge,virus,waggons,maskenpflicht,stosszeiten
27,26,221,telefonieren,laut,telefoniert,telefon,störend,telefongespräche,ruhewagen,laute,telefonate,stört
28,27,218,nil,nathan,afdfd,ok,non,dankeschön,denken,,,
29,28,209,abfalleimer,abfall,abfallbehälter,abfallkübel,ausfall,leeren,zug,entsorgen,ausfallen,sitzplätzen
30,29,207,halt,haltestelle,verlangen,haltestellen,hält,knopf,bergstrecke,wc,sauberer,schnellzüge
31,30,196,personal,freundliches,freundlich,sicherheit,personals,kompetentes,weiterhin,hilfsbereit,anstellen,genügend
32,31,173,doppelstöcker,doppelstockwagen,doppelstock,oberen,doppelstockzügen,doppelstockzüge,alten,doppelstöckige,züge,doppelstöckigen
33,32,169,raucher,rauchverbot,rauchen,raucherzonen,bahnhöfen,geraucht,perrons,nichtraucher,zigarettenstummel,rauch
34,33,167,perron,perrons,anzeigen,anzeige,sektor,sitzgelegenheiten,durchsagen,wartehäuschen,einsteigen,zug
35,34,159,velotransport,transport,velo,velos,transportieren,velotransportmöglichkeiten,kinderwagen,transportpolizei,there,transportmöglichkeiten
36,35,159,zonen,zone,110,anschlussbillet,abo,doppelt,app,zonenabo,zvv,billet
37,36,144,bombardier,stadler,züge,rail,dosto,schüttelbecher,fahrkomfort,arbeiten,zug,alten
38,37,139,kinderwagen,kinder,kind,einsteigen,velos,einstieg,kinderabteil,unterwegs,kinderwägen,züge
39,38,121,südostbahn,forchbahn,zentralbahn,endbahnhof,rutschbahn,eisenbahn,eisenbahnwagen,familienwagen,12,strecke
40,39,98,getränke,getränk,getränken,snacks,getränkeservice,speisewagen,wägeli,getränkewägeli,bistro,snack
41,40,98,tram,the,trams,app,sonceboz,nr,verbindung,gefahren,angezeigt,richtung
42,41,95,tip,top,tiptop,tipptopp,tipp,niveau,topp,service,hinterlassen,pünktliche
43,42,92,handy,steckdosen,handys,laden,handyverbot,aufladen,händy,gespräche,verbieten,steckdose
44,43,81,ski,skis,gepäck,snowboards,skier,velos,stauraum,koffer,winter,skiausrüstung
45,44,70,lüftung,luft,stickig,lüften,stickige,abgestandene,unangenehm,luftzug,zügen,luftqualität
46,45,64,bilette,bilett,bilet,app,bilettkauf,online,lösen,gelöst,überteuert,teuer
