,Topic,Count,keyword 1,keyword 2,keyword 3,keyword 4,keyword 5,keyword 6,keyword 7,keyword 8,keyword 9,keyword 10
0,-1,203,17h33,zau,nachtbushaltestelle,beinfreiheiten,koffervorrichtungen,zuteueerrrrrr,leck,mobileanschlüsse,zugeinheiten,nichtteuer
1,0,22363,zug,klasse,züge,wagen,verbindung,strecke,verbindungen,gepäck,leute,umsteigen
2,1,3173,app,super,zufrieden,service,laptop,job,zug,bls,mobile,arbeit
3,2,1567,fahrt,fahrplan,fahrräder,fahrrad,fahrten,fahrgäste,zug,fahrkarte,strecke,verspätung
4,3,1522,sparbillette,billet,billett,billette,lösen,app,sparbillete,kaufen,gelöst,anbieten
5,4,1508,ticket,tickets,app,spartickets,lösen,kaufen,günstigere,ticketpreise,gekauft,teuer
6,5,1381,minuten,verspätung,chf,zug,00,15,10,30,20,17
7,6,1302,velo,velos,veloplätze,bike,velotransport,bikes,reservation,kinderwagen,plätze,unterwegs
8,7,906,wc,wcs,defekt,geschlossen,sauberkeit,sauber,zügen,anlagen,saubere,öfters
9,8,790,kaffee,bestens,ok,top,perfekt,gipfeli,tiptop,wägeli,tip,getränke
10,9,684,ga,günstiger,studenten,billiger,angebote,preise,studierende,teuer,abo,günstigere
11,10,674,abend,sicherheit,abfalleimer,abends,abfall,fühle,sicher,sicherheitskräfte,nachts,abfallkübel
12,11,631,personal,sicherheitspersonal,zugpersonal,präsenz,sicherheit,freundliches,zügen,freundlich,abends,begleitpersonal
13,12,612,wlan,wifi,zügen,lan,free,gratis,zug,kostenloses,anbieten,freies
14,13,552,toiletten,toilette,defekt,sauber,geschlossen,bilette,sauberer,zügen,saubere,sauberkeit
15,14,536,bombardier,bistro,geschlossen,restaurants,bistrowagen,dosto,schade,züge,restaurantwagen,zug
16,15,531,wagons,waggons,wagon,stosszeiten,anhängen,klasse,waggon,genügend,überfüllt,sitzplätze
17,16,472,perron,perrons,anzeigetafeln,einsteigen,zug,sitzgelegenheiten,anzeige,richtung,anzeigen,49
18,17,463,informationen,information,informieren,störungen,bessere,verspätungen,info,informiert,lautsprecher,zug
19,18,426,postauto,chauffeur,postautos,anschluss,fährt,minuten,fahrt,verspätung,warten,zug
20,19,402,rollmaterial,rollstuhl,besseres,rollmaterials,einsetzen,neueres,moderneres,strecke,rollstuhlfahrer,wagen
21,20,398,platzangebot,stosszeiten,grösseres,knapp,klasse,besseres,verbessern,erhöhen,sitzplatzangebot,beschränkt
22,21,360,winter,temperatur,warm,sommer,grad,temperaturen,kalt,heizen,klimaanlage,jacke
23,22,350,s9,s11,s12,s24,s6,halbstundentakt,s7,s8,fährt,11
24,23,332,zugbegleiter,zugkompositionen,freundlich,zugskompositionen,zugskomposition,zugkomposition,innen,zugbegleiterin,zugbegleitung,beibehalten
25,24,329,corona,zeiten,züge,maskenpflicht,zug,maske,coronazeit,pandemie,voll,leute
26,25,283,halbtax,abo,teuer,preise,preis,halbtaxabo,trotz,chf,ga,app
27,26,262,hund,hunde,halt,haltestelle,haltestellen,verlangen,gratis,teuer,ga,sitz
28,27,232,ride,easy,easyride,funktioniert,app,standort,starten,ticket,lösen,funktion
29,28,232,gleis,49,zug,minuten,50,umsteigen,fuhr,ankunft,angeschrieben,knapp
30,29,220,internet,internetverbindung,empfang,internetzugang,gratis,webseite,zug,verbindung,zügen,besseres
31,30,204,ic,ir,züge,ir13,fährt,zügen,anschluss,ec,ic3,icn
32,31,186,swisspass,juniorkarte,pass,karte,login,app,zeigen,online,juniorkarten,hinterlegt
33,32,175,doppelstöcker,doppelstockwagen,alten,dosto,doppelstock,doppelstockzüge,oberen,doppelstockzügen,züge,einsetzen
34,33,171,toll,sparbilette,gäbe,verbindungen,zugbegleitungspersonal,nachtzug,frasnacht,nachtzüge,sicherheitskräfte,kaufen
35,34,170,lift,rampe,treppen,treppe,rampen,kinderwagen,the,and,there,gepäck
36,35,161,verbessern,niveau,pünktlichkeit,jammern,hohem,sauberkeit,verständlichkeit,anschlüsse,pünklichkeit,komfort
37,36,103,pendler,züge,pendlerzeiten,woche,klimatisieren,pro,prex,3x,zug,pendlerzüge
38,37,88,,,,,,,,,,
39,38,87,stress,stressig,umsteigen,menschen,ältere,erreichen,umsteige,verspätung,umsteigezeiten,anschlusszug
