,Topic,Count,keyword 1,keyword 2,keyword 3,keyword 4,keyword 5,keyword 6,keyword 7,keyword 8,keyword 9,keyword 10
0,-1,14754,zug,klasse,züge,app,verbindung,fahrt,strecke,minuten,zügen,verspätung
1,0,16753,zug,züge,fahrt,app,verspätung,strecke,verbindung,zufrieden,minuten,umsteigen
2,1,1728,ticket,tickets,lösen,app,kaufen,gelöst,online,billet,billett,gekauft
3,2,1575,bahnhöfen,bahnhöfe,bahn,perron,lift,perrons,rauchverbot,rampe,kinderwagen,gleis
4,3,1332,klasse,sitzplätze,plätze,klassenwechsel,gepäck,velos,klass,platzangebot,veloplätze,ga
5,4,1180,wagen,klasse,anhängen,klass,wägen,kl,wägeli,stosszeiten,zug,plätze
6,5,1086,bestens,super,ok,top,job,tip,funktioniert,tiptop,easy,ride
7,6,1047,maskenpflicht,maske,masken,tragen,kontrolle,kontrollen,kontrollieren,durchsetzen,öv,leute
8,7,588,toiletten,toilette,defekt,geschlossen,sauber,sauberkeit,zügen,wc,saubere,zug
9,8,503,preise,siehe,senken,preis,teuer,bemerkungen,kommentar,leistung,anpassen,vorherige
10,9,480,sicherheitspersonal,sicherheit,sicherheitskräfte,abend,abends,sicher,fühle,nachts,bahnhöfen,sicherheitsleute
11,10,454,pünktlichkeit,verbessern,pünktlich,sauberkeit,verbessert,zuverlässigkeit,verbesserung,platzangebot,ankommen,anschlüsse
12,11,380,wlan,wifi,wünschenswert,internet,zügen,zug,gratis,free,lan,steckdosen
13,12,302,sauberkeit,wc,wcs,saubere,reinigen,zügen,sauber,sauberer,kontrollieren,funktionierende
14,13,274,günstiger,günstigere,preise,anbieten,ga,billete,billette,sparbillette,günstige,günstigeres
15,14,270,klimaanlage,kalt,klimaanlagen,eingestellt,heiss,einstellen,anlage,funktionieren,stark,tief
16,15,252,stosszeiten,einsetzen,züge,längere,platzangebot,sitzplätze,randzeiten,spitzenzeiten,anbieten,waggons
17,16,234,umsteigezeit,umsteigezeiten,knapp,minuten,perron,anzeigetafel,bemessen,ältere,gleis,längere
18,17,177,speisewagen,bedient,geschlossen,bistro,betrieb,konsumiert,kaffee,corona,gerne,vorhanden
19,18,168,wagons,stosszeiten,wagon,klasse,anhängen,klass,genügend,überfüllt,stellen,klassen
20,19,161,corona,zeiten,coronazeiten,coronazeit,züge,stosszeiten,kontrollen,maskenpflicht,leute,zug
21,20,152,anregungen,io,anmerkungen,momentan,preiserhöhungen,anregung,bemerkungen,bemerkung,fragen,umfragen
22,21,142,rollmaterial,besseres,einsetzen,moderneres,neueres,rollmaterials,strecke,material,bombardier,erneuern
23,22,128,sparbillette,sparbillete,anbieten,sparbilette,sparbillets,kurzfristige,spar,super,libero,regionen
24,23,112,sommer,winter,klimaanlage,stark,kühlen,heizen,gekühlt,temperaturen,kalt,jacke
25,24,98,verfügung,stellen,sitzplätze,veloplätze,plätze,sparbillette,waggons,wc,genügend,wlan
26,25,95,gepäckablagen,gepäckablage,ablageflächen,koffer,ablage,gepäck,ablagemöglichkeiten,ablagen,sitzen,schmal
27,26,95,getränke,beschränkt,eingeschränkt,getränken,getränk,platzangebot,getränkewägeli,kaffee,snackautomat,snacks
28,27,92,gruppe,gruppen,plätze,reserviert,gruppenreservationen,gruppenreisen,reservierten,reservierte,gruppenreise,wagen
29,28,92,angebote,günstigere,sparangebote,angebot,sparbillette,vergünstigte,sparbilleten,besseres,senioren,pendler
30,29,76,zugbegleiter,zugbegleitung,zugbegleiterin,freundlich,zugbegleiterinnen,freundliche,zugbegleitungspersonal,abend,zugbegleitern,präsenz
31,30,75,fragen,umfrage,fragebogen,befragung,zumutung,zuviele,ähnliche,ausführlich,länge,kürzer
32,31,69,übrig,wünschen,lässt,sauberkeit,pünktlichkeit,manchmal,läst,liess,abfalleimer,oftmals
33,32,67,teuer,halbtax,billettpreis,preise,billett,halbtaxabo,billet,billete,üerikon,zureisen
34,33,50,sicherheit,sicherheitspersonal,sicherheitsleute,sicher,frauen,sicherheitskräfte,fühlen,fühlt,bahn,abend
