,Topic,Count,keyword 1,keyword 2,keyword 3,keyword 4,keyword 5,keyword 6,keyword 7,keyword 8,keyword 9,keyword 10
0,-1,118,velotransportplätze,kinderwagenfreundlicher,raucherabteile,kleinkindabteile,verbingungen,spahrbillette,velofahrplätze,serviocelevel,schnarchen,verschidenen
1,0,17716,zug,verspätung,züge,fahrt,strecke,minuten,app,verbindung,umsteigen,mal
2,1,2600,ticket,app,lösen,tickets,gelöst,kaufen,billet,online,billett,gekauft
3,2,2793,bahnhöfen,perron,bahn,perrons,kinderwagen,gleis,richtung,bahnhöfe,lift,anschluss
4,3,1457,wagen,klasse,anhängen,klass,kl,zug,stosszeiten,plätze,wägen,wägeli
5,4,2253,verbindungen,bessere,verspätungen,verbindung,direkte,anschlüsse,informieren,störungen,informationen,umsteigen
6,5,1435,maskenpflicht,maske,masken,tragen,kontrolle,kontrollen,trinken,personen,leute,getragen
7,6,1594,klasse,klassenwechsel,klass,ga,überfüllt,voll,plätze,sitzen,stehen,platzangebot
8,7,1162,ok,bestens,top,super,funktioniert,perfekt,tip,service,ride,easy
9,8,679,toiletten,toilette,defekt,geschlossen,sauber,sauberkeit,wc,zügen,saubere,schmutzig
10,9,865,pünktlichkeit,verbessern,sauberkeit,pünktlich,verbessert,zuverlässigkeit,züge,platzangebot,wc,zügen
11,10,936,sicherheitspersonal,sicherheit,abends,abend,sicher,fühle,sicherheitskräfte,nachts,bahnhöfen,präsenz
12,11,1207,gepäck,velos,koffer,velo,fahrräder,kinderwagen,plätze,stauraum,koffern,gepäckstücke
13,12,919,stosszeiten,umsteigezeit,knapp,umsteigezeiten,platzangebot,längere,minuten,züge,bemessen,gleis
14,13,563,klimaanlage,kalt,eingestellt,klimaanlagen,heiss,einstellen,kühl,grad,temperatur,stark
15,14,858,wc,sauberkeit,wcs,zügen,reinigen,sauberer,saubere,sauber,geschlossen,defekt
16,15,426,günstiger,günstigere,preise,ga,studenten,billete,billette,anbieten,spartickets,sparbillette
17,16,586,wlan,wifi,internet,zügen,gratis,zug,free,steckdosen,freies,lan
18,17,335,wagons,wagon,stosszeiten,sitzplatz,anhängen,klasse,stehen,klass,dans,sitzplätze
19,18,528,preise,senken,preis,anpassen,leistung,leistungsverhältnis,halbtax,tiefere,billetpreise,billigere
20,19,614,schön,steckdosen,toll,gäbe,direkt,laden,zug,super,handy,fahren
21,20,206,passt,nich,nix,perron,abonnements,ignoriert,bahn,male,monaten,postauto
22,21,446,speisewagen,bistro,geschlossen,bedient,kaffee,konsumiert,bedienung,gerne,vorhanden,betrieb
23,22,373,corona,zeiten,coronazeiten,züge,coronazeit,waggons,leute,voll,zug,abstand
24,23,207,siehe,erwähnt,bemerkungen,kommentar,vorherige,bemerkung,vorhin,vorne,kommentare,vorherigen
25,24,295,rollmaterial,einsetzen,besseres,moderneres,neueres,strecke,genügend,bombardier,erneuern,züge
26,25,276,wünschen,übrig,lässt,wünschenswert,sauberkeit,abfalleimer,manchmal,usb,installieren,pünktlichkeit
27,26,468,sitzplätze,plätze,veloplätze,genügend,schaffen,freie,vorhanden,gepäck,sitzplätzen,stehen
28,27,365,sparbillette,anbieten,sparbillete,sparbilette,einführen,verfügbar,libero,sparbillets,schade,sparbillet
29,28,247,sommer,winter,stark,heizen,temperatur,klimaanlage,gekühlt,kühlen,grad,warm
30,29,136,io,momentan,ansagen,ahnung,fand,sparbillets,billettkontrolle,gruss,optimierungspotentiale,standardisierten
31,30,239,getränke,kaffee,getränken,snacks,beschränkt,bistro,snack,eingeschränkt,wägeli,speisen
32,31,265,job,super,anregungen,tollen,gepasst,anregung,rhb,mitarbeiter,liebe,herzlichen
33,32,244,gruppe,gruppen,plätze,reserviert,reservierten,reservation,reservierte,reservationen,gruppenreservationen,personen
34,33,210,angebote,angebot,günstigere,sparangebote,familien,senioren,ga,pendler,vergünstigungen,sparbillett
35,34,225,verfügung,stellen,sitzplätze,stehen,veloplätze,genügend,plätze,stosszeiten,strecken,sparbillette
36,35,313,fragen,umfrage,fragebogen,umfragen,befragung,kürzer,kürzen,stellen,rückfahrt,zukunft
37,36,307,zugbegleiter,freundlich,freundliche,innen,zugbegleitung,zugbegleiterin,froh,zugbegleiterinnen,nett,präsenz
38,37,387,teuer,halbtax,preise,ga,preis,kurze,zugfahren,schweiz,öv,studenten
39,38,188,erhöhen,teurer,takt,preise,minibar,fahrpreise,verlangen,beibehalten,teure,happy
